,account,currency,long_lat,txn_description,first_name,balance,date,gender,age,amount,country,customer_id,movement,month,time,Longitude,Latitude
20,ACC-1598451071,AUD,153.41 -27.95,POS,Diana,3.85,2018-08-01,F,26,14.1,Australia,CUS-2487424745,debit,August,08:09:42,153.41,-27.95
21,ACC-2890243754,AUD,153.32 -27.93,POS,Joseph,275.93,2018-08-01,M,37,24.77,Australia,CUS-2695611575,debit,August,08:19:14,153.32,-27.93
22,ACC-3481401842,AUD,115.74 -31.72,SALES-POS,Tiffany,259.37,2018-08-01,F,25,13.67,Australia,CUS-1669695324,debit,August,08:28:45,115.74,-31.72
23,ACC-2615038700,AUD,145.35 -38.03,POS,Emily,30583.15,2018-08-01,F,43,12.08,Australia,CUS-3255104878,debit,August,08:47:48,145.35,-38.03
24,ACC-966140392,AUD,147.08 -37.97,POS,Joseph,793.64,2018-08-01,M,21,72.12,Australia,CUS-537508723,debit,August,08:57:20,147.08,-37.97
25,ACC-354106658,AUD,151.04 -33.80,INTER BANK,Christine,4474.38,2018-08-01,F,39,25.0,Australia,CUS-2376382098,debit,August,09:00:00,151.04,-33.80
26,ACC-1443681913,AUD,150.92 -33.77,PAYMENT,Ryan,586.2,2018-08-01,M,31,36.0,Australia,CUS-3129499595,debit,August,09:00:00,150.92,-33.77
27,ACC-1710017148,AUD,150.82 -34.01,SALES-POS,Michelle,1636.91,2018-08-01,F,19,17.96,Australia,CUS-883482547,debit,August,09:02:54,150.82,-34.01
28,ACC-2673069055,AUD,152.99 -27.49,SALES-POS,Richard,11525.54,2018-08-01,M,24,14.49,Australia,CUS-51506836,debit,August,09:06:57,152.99,-27.49
29,ACC-1710017148,AUD,150.82 -34.01,SALES-POS,Michelle,1625.34,2018-08-01,F,19,11.57,Australia,CUS-883482547,debit,August,09:11:00,150.82,-34.01
30,ACC-1037050564,AUD,153.10 -27.66,POS,Rhonda,2072.1,2018-08-01,F,40,45.12,Australia,CUS-1614226872,debit,August,09:15:03,153.10,-27.66
31,ACC-3485804958,AUD,138.52 -35.01,POS,Jessica,12529.59,2018-08-01,F,34,33.89,Australia,CUS-1196156254,debit,August,09:19:06,138.52,-35.01
32,ACC-4258502723,AUD,145.45 -37.74,SALES-POS,Kimberly,698.61,2018-08-01,F,24,9.67,Australia,CUS-3378712515,debit,August,09:23:09,145.45,-37.74
33,ACC-3100725361,AUD,145.73 -17.03,POS,Ronald,2086.31,2018-08-01,M,25,4.38,Australia,CUS-2178051368,debit,August,09:27:12,145.73,-17.03
34,ACC-1990648130,AUD,114.62 -28.80,POS,Kaitlyn,1689.89,2018-08-01,F,21,28.49,Australia,CUS-809013380,debit,August,09:39:21,114.62,-28.80
35,ACC-1990648130,AUD,114.62 -28.80,POS,Kaitlyn,1675.46,2018-08-01,F,21,14.43,Australia,CUS-809013380,debit,August,09:43:24,114.62,-28.80
36,ACC-2673069055,AUD,152.99 -27.49,SALES-POS,Richard,11438.51,2018-08-01,M,24,87.03,Australia,CUS-51506836,debit,August,09:47:26,152.99,-27.49
37,ACC-154431271,AUD,153.09 -27.48,POS,Lori,38.42,2018-08-01,F,18,36.28,Australia,CUS-3702001629,debit,August,09:51:29,153.09,-27.48
38,ACC-3689607373,AUD,115.79 -31.79,POS,Virginia,1089.59,2018-08-01,F,20,15.91,Australia,CUS-127297539,debit,August,09:55:32,115.79,-31.79
39,ACC-721712940,AUD,145.09 -37.82,POS,Andrew,49756.21,2018-08-01,M,78,25.7,Australia,CUS-1646183815,debit,August,09:59:35,145.09,-37.82
40,ACC-1037050564,AUD,153.10 -27.66,PAYMENT,Rhonda,2040.1,2018-08-01,F,40,32.0,Australia,CUS-1614226872,debit,August,10:00:00,153.10,-27.66
41,ACC-1799207998,AUD,150.68 -33.79,INTER BANK,Susan,137.14,2018-08-01,F,20,39.0,Australia,CUS-164374203,debit,August,10:00:00,150.68,-33.79
42,ACC-2107684084,AUD,145.03 -37.88,PAYMENT,Richard,292.77,2018-08-01,M,22,34.0,Australia,CUS-2283904812,debit,August,10:00:00,145.03,-37.88
43,ACC-2173390920,AUD,144.71 -37.58,PAYMENT,Luis,28.04,2018-08-01,M,27,29.0,Australia,CUS-3180318393,debit,August,10:00:00,144.71,-37.58
44,ACC-1243371644,AUD,150.90 -33.78,PAYMENT,Gregory,754.2,2018-08-01,M,42,150.0,Australia,CUS-3904958894,debit,August,10:00:00,150.90,-33.78
45,ACC-966140392,AUD,147.08 -37.97,PAYMENT,Joseph,763.64,2018-08-01,M,21,30.0,Australia,CUS-537508723,debit,August,10:00:00,147.08,-37.97
46,ACC-1683215619,AUD,138.67 -34.86,SALES-POS,Barry,301.65,2018-08-01,M,38,20.43,Australia,CUS-1604596597,debit,August,10:12:51,138.67,-34.86
47,ACC-2901672282,AUD,255.00 -573.00,SALES-POS,Daniel,1290.08,2018-08-01,M,22,31.62,Australia,CUS-1617121891,debit,August,10:27:08,255.00,-573.00
48,ACC-1652235822,AUD,144.89 -37.81,SALES-POS,Renee,18784.07,2018-08-01,F,38,16.13,Australia,CUS-2206365095,debit,August,10:41:25,144.89,-37.81
49,ACC-2615038700,AUD,145.35 -38.03,POS,Emily,29645.42,2018-08-01,F,43,937.73,Australia,CUS-3255104878,debit,August,10:55:42,145.35,-38.03
50,ACC-588564840,AUD,151.27 -33.76,PAY/SALARY,Isaiah,8342.11,2018-08-01,M,23,3903.95,Australia,CUS-1462656821,credit,August,11:00:00,151.27,-33.76
51,ACC-2901672282,AUD,255.00 -573.00,PAYMENT,Daniel,1195.08,2018-08-01,M,22,95.0,Australia,CUS-1617121891,debit,August,11:00:00,255.00,-573.00
52,ACC-602667573,AUD,151.23 -33.96,POS,Michael,454.94,2018-08-01,M,40,11.64,Australia,CUS-2031327464,debit,August,11:04:45,151.23,-33.96
53,ACC-414431115,AUD,142.77 -37.06,POS,Amy,27.86,2018-08-01,F,43,28.0,Australia,CUS-2599279756,debit,August,11:11:33,142.77,-37.06
54,ACC-1243371644,AUD,150.90 -33.78,POS,Gregory,689.22,2018-08-01,M,42,64.98,Australia,CUS-3904958894,debit,August,11:18:22,150.90,-33.78
55,ACC-602667573,AUD,151.23 -33.96,SALES-POS,Michael,440.66,2018-08-01,M,40,14.28,Australia,CUS-2031327464,debit,August,11:25:10,151.23,-33.96
56,ACC-2615038700,AUD,145.35 -38.03,SALES-POS,Emily,29143.75,2018-08-01,F,43,501.67,Australia,CUS-3255104878,debit,August,11:31:58,145.35,-38.03
57,ACC-1334819143,AUD,145.13 -37.70,POS,Christopher,58154.74,2018-08-01,M,33,17.97,Australia,CUS-3117610635,debit,August,11:38:46,145.13,-37.70
58,ACC-4258502723,AUD,145.45 -37.74,POS,Kimberly,589.1,2018-08-01,F,24,109.51,Australia,CUS-3378712515,debit,August,11:45:34,145.45,-37.74
59,ACC-3100725361,AUD,145.73 -17.03,POS,Ronald,2058.92,2018-08-01,M,25,27.39,Australia,CUS-2178051368,debit,August,11:52:22,145.73,-17.03
60,ACC-3541460373,AUD,145.00 -37.83,POS,Jeffrey,1109.58,2018-08-01,M,24,27.39,Australia,CUS-1433879684,debit,August,11:59:11,145.00,-37.83
61,ACC-1650504218,AUD,145.01 -37.93,PAY/SALARY,Marissa,2040.58,2018-08-01,F,23,1626.48,Australia,CUS-2500783281,credit,August,12:00:00,145.01,-37.93
62,ACC-4163822186,AUD,149.03 -34.97,PAYMENT,Karen,3071.94,2018-08-01,F,26,46.0,Australia,CUS-2630892467,debit,August,12:00:00,149.03,-34.97
63,ACC-182446574,AUD,116.06 -32.00,INTER BANK,Tonya,150.08,2018-08-01,F,27,57.0,Australia,CUS-3026014945,debit,August,12:00:00,116.06,-32.00
64,ACC-3326339947,AUD,151.18 -33.80,PAY/SALARY,Eric,3158.51,2018-08-01,M,22,983.36,Australia,CUS-326006476,credit,August,12:00:00,151.18,-33.80
65,ACC-3879258709,AUD,143.83 -37.66,PAYMENT,Natasha,186371.86,2018-08-01,F,40,170.0,Australia,CUS-527400765,debit,August,12:00:00,143.83,-37.66
66,ACC-2249586092,AUD,115.98 -32.07,POS,Edward,4172.16,2018-08-01,M,19,3.28,Australia,CUS-443776336,debit,August,12:15:26,115.98,-32.07
67,ACC-3827517394,AUD,151.12 -33.89,POS,Craig,30163.44,2018-08-01,M,28,33.45,Australia,CUS-2663907001,debit,August,12:50:31,151.12,-33.89
68,ACC-3541460373,AUD,145.00 -37.83,PAY/SALARY,Jeffrey,2517.66,2018-08-01,M,24,1408.08,Australia,CUS-1433879684,credit,August,13:00:00,145.00,-37.83
69,ACC-3100725361,AUD,145.73 -17.03,INTER BANK,Ronald,2032.92,2018-08-01,M,25,26.0,Australia,CUS-2178051368,debit,August,13:00:00,145.73,-17.03
70,ACC-2776252858,AUD,144.95 -37.76,PAY/SALARY,Kristin,2271.79,2018-08-01,F,43,1068.04,Australia,CUS-4123612273,credit,August,13:00:00,144.95,-37.76
71,ACC-2615038700,AUD,145.35 -38.03,POS,Emily,29128.11,2018-08-01,F,43,15.64,Australia,CUS-3255104878,debit,August,13:45:33,145.35,-38.03
72,ACC-1598451071,AUD,153.41 -27.95,PAY/SALARY,Diana,1017.52,2018-08-01,F,26,1013.67,Australia,CUS-2487424745,credit,August,14:00:00,153.41,-27.95
73,ACC-1799207998,AUD,150.68 -33.79,POS,Susan,119.88,2018-08-01,F,20,17.26,Australia,CUS-164374203,debit,August,14:01:55,150.68,-33.79
74,ACC-4258502723,AUD,145.45 -37.74,SALES-POS,Kimberly,538.85,2018-08-01,F,24,50.25,Australia,CUS-3378712515,debit,August,14:10:42,145.45,-37.74
75,ACC-958000567,AUD,130.90 -12.37,POS,Sandra,486.68,2018-08-01,F,34,22.25,Australia,CUS-4142663097,debit,August,14:19:28,130.90,-12.37
76,ACC-1037050564,AUD,153.10 -27.66,SALES-POS,Rhonda,2029.05,2018-08-01,F,40,11.05,Australia,CUS-1614226872,debit,August,14:28:14,153.10,-27.66
77,ACC-1710017148,AUD,150.82 -34.01,POS,Michelle,1609.16,2018-08-01,F,19,16.18,Australia,CUS-883482547,debit,August,14:37:01,150.82,-34.01
78,ACC-602667573,AUD,151.23 -33.96,SALES-POS,Michael,429.2,2018-08-01,M,40,11.46,Australia,CUS-2031327464,debit,August,14:45:47,151.23,-33.96
79,ACC-2305712452,AUD,138.61 -34.89,PAYMENT,Debra,86.91,2018-08-01,F,18,36.0,Australia,CUS-1842679196,debit,August,15:00:00,138.61,-34.89
80,ACC-38923874,AUD,151.27 -33.90,PAYMENT,Ryan,28453.87,2018-08-01,M,38,35.0,Australia,CUS-3249305314,debit,August,15:00:00,151.27,-33.90
81,ACC-819621312,AUD,145.04 -37.85,POS,Michele,86.3,2018-08-01,F,30,5.29,Australia,CUS-1271030853,debit,August,15:02:21,145.04,-37.85
82,ACC-1710017148,AUD,150.82 -34.01,SALES-POS,Michelle,1602.58,2018-08-01,F,19,6.58,Australia,CUS-883482547,debit,August,15:08:34,150.82,-34.01
83,ACC-1973887809,AUD,115.78 -31.90,SALES-POS,Antonio,713.56,2018-08-01,M,26,16.03,Australia,CUS-1646621553,debit,August,15:27:12,115.78,-31.90
84,ACC-1516130869,AUD,130.84 -12.45,POS,Jessica,143.4,2018-08-01,F,21,32.41,Australia,CUS-325142416,debit,August,15:33:24,130.84,-12.45
85,ACC-966140392,AUD,147.08 -37.97,SALES-POS,Joseph,750.75,2018-08-01,M,21,12.89,Australia,CUS-537508723,debit,August,15:39:37,147.08,-37.97
86,ACC-1973887809,AUD,115.78 -31.90,POS,Antonio,697.46,2018-08-01,M,26,16.1,Australia,CUS-1646621553,debit,August,15:45:50,115.78,-31.90
87,ACC-1056639002,AUD,145.03 -37.91,SALES-POS,Michael,39595.08,2018-08-01,M,22,39.92,Australia,CUS-3462882033,debit,August,15:52:02,145.03,-37.91
88,ACC-1279356312,AUD,144.79 -37.73,POS,Tyler,1082.64,2018-08-01,M,44,8.1,Australia,CUS-1892177589,debit,August,15:58:15,144.79,-37.73
89,ACC-4065652575,AUD,115.81 -31.82,PAYMENT,Lucas,2335.35,2018-08-01,M,21,55.0,Australia,CUS-1117979751,debit,August,16:00:00,115.81,-31.82
90,ACC-3485804958,AUD,138.52 -35.01,PAY/SALARY,Jessica,16433.32,2018-08-01,F,34,3903.73,Australia,CUS-1196156254,credit,August,16:00:00,138.52,-35.01
91,ACC-1799207998,AUD,150.68 -33.79,PAYMENT,Susan,8.06,2018-08-01,F,20,35.0,Australia,CUS-164374203,debit,August,16:00:00,150.68,-33.79
92,ACC-1973887809,AUD,115.78 -31.90,PAY/SALARY,Antonio,1796.37,2018-08-01,M,26,1098.91,Australia,CUS-1646621553,credit,August,16:00:00,115.78,-31.90
93,ACC-4059612845,AUD,130.98 -12.49,PAY/SALARY,Jonathan,50383.16,2018-08-01,M,38,2647.38,Australia,CUS-495599312,credit,August,16:00:00,130.98,-12.49
94,ACC-1608363396,AUD,151.22 -33.87,POS,Robert,1691.91,2018-08-01,M,20,13.52,Australia,CUS-2688605418,debit,August,16:12:00,151.22,-33.87
95,ACC-1799207998,AUD,150.68 -33.79,POS,Susan,43.06,2018-08-01,F,20,76.82,Australia,CUS-164374203,debit,August,16:28:40,150.68,-33.79
96,ACC-3879258709,AUD,143.83 -37.66,POS,Natasha,186344.95,2018-08-01,F,40,26.91,Australia,CUS-527400765,debit,August,16:45:20,143.83,-37.66
97,ACC-819621312,AUD,145.04 -37.85,PAY/SALARY,Michele,1244.45,2018-08-01,F,30,1158.15,Australia,CUS-1271030853,credit,August,17:00:00,145.04,-37.85
98,ACC-2920611728,AUD,144.96 -37.76,PAY/SALARY,Tyler,1969.05,2018-08-01,M,69,1043.12,Australia,CUS-1388323263,credit,August,17:00:00,144.96,-37.76
99,ACC-2901672282,AUD,255.00 -573.00,PAYMENT,Daniel,1162.08,2018-08-01,M,22,33.0,Australia,CUS-1617121891,debit,August,17:00:00,255.00,-573.00
100,ACC-1799207998,AUD,150.68 -33.79,PAY/SALARY,Susan,1403.55,2018-08-01,F,20,1395.49,Australia,CUS-164374203,credit,August,17:00:00,150.68,-33.79
101,ACC-1349834573,AUD,145.17 -37.84,PAY/SALARY,Matthew,7094.77,2018-08-01,M,39,3071.14,Australia,CUS-1790886359,credit,August,17:00:00,145.17,-37.84
102,ACC-4163822186,AUD,149.03 -34.97,PAYMENT,Karen,3021.94,2018-08-01,F,26,50.0,Australia,CUS-2630892467,debit,August,17:00:00,149.03,-34.97
103,ACC-958000567,AUD,130.90 -12.37,PAYMENT,Sandra,300.09,2018-08-01,F,34,168.0,Australia,CUS-4142663097,debit,August,17:00:00,130.90,-12.37
104,ACC-854938045,AUD,147.63 -22.84,POS,James,6941.78,2018-08-01,M,28,22.59,Australia,CUS-4023861240,debit,August,17:01:07,147.63,-22.84
105,ACC-1279356312,AUD,144.79 -37.73,SALES-POS,Tyler,1067.36,2018-08-01,M,44,15.28,Australia,CUS-1892177589,debit,August,17:10:33,144.79,-37.73
106,ACC-574997646,AUD,150.79 -33.64,SALES-POS,Mackenzie,189.55,2018-08-01,F,18,5.62,Australia,CUS-586638664,debit,August,17:20:00,150.79,-33.64
107,ACC-1443681913,AUD,150.92 -33.77,SALES-POS,Ryan,492.41,2018-08-01,M,31,93.79,Australia,CUS-3129499595,debit,August,17:38:52,150.92,-33.77
108,ACC-1650504218,AUD,145.01 -37.93,SALES-POS,Marissa,2025.72,2018-08-01,F,23,14.86,Australia,CUS-2500783281,debit,August,17:48:18,145.01,-37.93
109,ACC-958000567,AUD,130.90 -12.37,SALES-POS,Sandra,468.09,2018-08-01,F,34,18.59,Australia,CUS-4142663097,debit,August,17:57:44,130.90,-12.37
110,ACC-2153562714,AUD,116.00 -31.88,PAYMENT,Linda,860.46,2018-08-01,F,24,46.0,Australia,CUS-423725039,debit,August,18:00:00,116.00,-31.88
111,ACC-1598451071,AUD,153.41 -27.95,POS,Diana,1006.85,2018-08-01,F,26,10.67,Australia,CUS-2487424745,debit,August,18:19:29,153.41,-27.95
112,ACC-90814749,AUD,151.68 -32.98,SALES-POS,Christopher,6022.68,2018-08-01,M,35,19.58,Australia,CUS-1896554896,debit,August,18:45:07,151.68,-32.98
113,ACC-1349834573,AUD,145.17 -37.84,PAYMENT,Matthew,7046.77,2018-08-01,M,39,48.0,Australia,CUS-1790886359,debit,August,19:00:00,145.17,-37.84
114,ACC-964839203,AUD,146.92 -36.07,SALES-POS,Michael,27984.9,2018-08-01,M,21,26.75,Australia,CUS-2059096722,debit,August,19:04:09,146.92,-36.07
115,ACC-80388494,AUD,144.97 -37.42,POS,Dustin,823.53,2018-08-01,M,28,9.21,Australia,CUS-1140341822,debit,August,19:14:03,144.97,-37.42
116,ACC-3485804958,AUD,138.52 -35.01,POS,Jessica,16421.78,2018-08-01,F,34,11.54,Australia,CUS-1196156254,debit,August,19:23:57,138.52,-35.01
117,ACC-1598451071,AUD,153.41 -27.95,SALES-POS,Diana,995.57,2018-08-01,F,26,11.28,Australia,CUS-2487424745,debit,August,19:33:51,153.41,-27.95
118,ACC-964839203,AUD,146.92 -36.07,SALES-POS,Michael,27953.53,2018-08-01,M,21,31.37,Australia,CUS-2059096722,debit,August,19:43:45,146.92,-36.07
119,ACC-3881031190,AUD,149.19 -21.15,POS,Richard,445.04,2018-08-01,M,37,23.86,Australia,CUS-3201519139,debit,August,19:53:39,149.19,-21.15
120,ACC-2171593283,AUD,146.94 -36.04,PAYMENT,Fernando,4331.5,2018-08-01,M,19,17.0,Australia,CUS-2317998716,debit,August,20:00:00,146.94,-36.04
121,ACC-1650504218,AUD,145.01 -37.93,PAYMENT,Marissa,1992.72,2018-08-01,F,23,33.0,Australia,CUS-2500783281,debit,August,20:00:00,145.01,-37.93
122,ACC-182446574,AUD,116.06 -32.00,INTER BANK,Tonya,117.08,2018-08-01,F,27,33.0,Australia,CUS-3026014945,debit,August,20:00:00,116.06,-32.00
123,ACC-4281711154,AUD,144.98 -37.84,PHONE BANK,Eric,35322.36,2018-08-01,M,42,36.0,Australia,CUS-3151318058,debit,August,20:00:00,144.98,-37.84
124,ACC-1037050564,AUD,153.10 -27.66,SALES-POS,Rhonda,1963.94,2018-08-01,F,40,65.11,Australia,CUS-1614226872,debit,August,20:09:28,153.10,-27.66
125,ACC-854938045,AUD,147.63 -22.84,SALES-POS,James,6924.65,2018-08-01,M,28,17.13,Australia,CUS-4023861240,debit,August,20:35:47,147.63,-22.84
126,ACC-3536132544,AUD,144.93 -37.79,INTER BANK,Heather,1679.94,2018-08-01,F,41,43.0,Australia,CUS-2348881191,debit,August,21:00:00,144.93,-37.79
127,ACC-1217063613,AUD,147.61 -37.82,SALES-POS,Kimberly,34.97,2018-08-01,F,27,7.29,Australia,CUS-1739931018,debit,August,21:01:28,147.61,-37.82
128,ACC-3771436525,AUD,145.04 -37.92,POS,Derek,614.93,2018-08-01,M,20,27.82,Australia,CUS-3325710106,debit,August,21:19:59,145.04,-37.92
129,ACC-1598451071,AUD,153.41 -27.95,POS,Diana,986.58,2018-08-01,F,26,8.99,Australia,CUS-2487424745,debit,August,21:38:31,153.41,-27.95
130,ACC-1683215619,AUD,138.67 -34.86,POS,Barry,279.86,2018-08-01,M,38,21.79,Australia,CUS-1604596597,debit,August,21:57:02,138.67,-34.86
131,ACC-1710017148,AUD,150.82 -34.01,PAYMENT,Michelle,1569.58,2018-08-01,F,19,33.0,Australia,CUS-883482547,debit,August,22:00:00,150.82,-34.01
132,ACC-1598451071,AUD,153.41 -27.95,POS,Diana,976.26,2018-08-01,F,26,10.32,Australia,CUS-2487424745,debit,August,22:25:27,153.41,-27.95
133,ACC-2897221629,AUD,150.90 -34.37,POS,Scott,94.45,2018-08-01,M,23,19.04,Australia,CUS-511326734,debit,August,22:55:45,150.90,-34.37
134,ACC-2988263882,AUD,145.18 -37.90,PAYMENT,Michael,1884.41,2018-08-01,M,44,157.0,Australia,CUS-1233833708,debit,August,23:00:00,145.18,-37.90
135,ACC-1973887809,AUD,115.78 -31.90,PAYMENT,Antonio,1767.37,2018-08-01,M,26,29.0,Australia,CUS-1646621553,debit,August,23:00:00,115.78,-31.90
136,ACC-1349834573,AUD,145.17 -37.84,PAYMENT,Matthew,7014.77,2018-08-01,M,39,32.0,Australia,CUS-1790886359,debit,August,23:00:00,145.17,-37.84
137,ACC-964839203,AUD,146.92 -36.07,SALES-POS,Michael,27923.06,2018-08-02,M,21,30.47,Australia,CUS-2059096722,debit,August,00:05:27,146.92,-36.07
138,ACC-3689607373,AUD,115.79 -31.79,SALES-POS,Virginia,1074.43,2018-08-02,F,20,15.16,Australia,CUS-127297539,debit,August,00:50:54,115.79,-31.79
139,ACC-1496451953,AUD,145.16 -37.84,POS,Ricky,163.59,2018-08-02,M,43,10.07,Australia,CUS-3142625864,debit,August,01:15:05,145.16,-37.84
140,ACC-588564840,AUD,151.27 -33.76,SALES-POS,Isaiah,8306.12,2018-08-02,M,23,35.99,Australia,CUS-1462656821,debit,August,01:52:49,151.27,-33.76
141,ACC-1496451953,AUD,145.16 -37.84,INTER BANK,Ricky,147.59,2018-08-02,M,43,16.0,Australia,CUS-3142625864,debit,August,02:00:00,145.16,-37.84
142,ACC-37709441,AUD,153.41 -28.01,SALES-POS,Charles,128.21,2018-08-02,M,18,32.06,Australia,CUS-3336454548,debit,August,02:16:45,153.41,-28.01
143,ACC-1334819143,AUD,145.13 -37.70,SALES-POS,Christopher,58111.04,2018-08-02,M,33,43.7,Australia,CUS-3117610635,debit,August,02:43:47,145.13,-37.70
144,ACC-1523339231,AUD,115.83 -31.90,PAYMENT,Tim,54980.99,2018-08-02,M,40,47.0,Australia,CUS-1816693151,debit,August,03:00:00,115.83,-31.90
145,ACC-2890243754,AUD,153.32 -27.93,PAYMENT,Joseph,223.93,2018-08-02,M,37,52.0,Australia,CUS-2695611575,debit,August,03:00:00,153.32,-27.93
146,ACC-3021093232,AUD,149.83 -29.47,SALES-POS,Melissa,128.76,2018-08-02,F,30,36.07,Australia,CUS-55310383,debit,August,03:57:08,149.83,-29.47
147,ACC-2270192619,AUD,138.56 -35.27,PAYMENT,Darren,6630.82,2018-08-02,M,20,39.0,Australia,CUS-2110742437,debit,August,04:00:00,138.56,-35.27
148,ACC-3536132544,AUD,144.93 -37.79,PAYMENT,Heather,1657.94,2018-08-02,F,41,22.0,Australia,CUS-2348881191,debit,August,04:00:00,144.93,-37.79
149,ACC-3689607373,AUD,115.79 -31.79,SALES-POS,Virginia,1066.35,2018-08-02,F,20,8.08,Australia,CUS-127297539,debit,August,04:26:29,115.79,-31.79
150,ACC-154431271,AUD,153.09 -27.48,SALES-POS,Lori,15.93,2018-08-02,F,18,22.49,Australia,CUS-3702001629,debit,August,04:53:30,153.09,-27.48
151,ACC-2171593283,AUD,146.94 -36.04,PAYMENT,Fernando,4298.5,2018-08-02,M,19,33.0,Australia,CUS-2317998716,debit,August,05:00:00,146.94,-36.04
152,ACC-2890243754,AUD,153.32 -27.93,PAYMENT,Joseph,205.93,2018-08-02,M,37,18.0,Australia,CUS-2695611575,debit,August,05:00:00,153.32,-27.93
153,ACC-3481401842,AUD,115.74 -31.72,PAYMENT,Tiffany,213.37,2018-08-02,F,25,46.0,Australia,CUS-1669695324,debit,August,06:00:00,115.74,-31.72
154,ACC-211792489,AUD,138.63 -34.93,PAYMENT,Jacqueline,3117.58,2018-08-02,F,30,47.0,Australia,CUS-497688347,debit,August,06:00:00,138.63,-34.93
155,ACC-4281711154,AUD,144.98 -37.84,POS,Eric,35305.32,2018-08-02,M,42,17.04,Australia,CUS-3151318058,debit,August,06:28:34,144.98,-37.84
156,ACC-2231965366,AUD,144.96 -37.84,PAYMENT,Linda,1580.32,2018-08-02,F,35,33.0,Australia,CUS-2155701614,debit,August,07:00:00,144.96,-37.84
157,ACC-2259139624,AUD,144.66 -37.91,INTER BANK,Cindy,1146.46,2018-08-02,F,19,22.0,Australia,CUS-3174332735,debit,August,07:00:00,144.66,-37.91
158,ACC-2776252858,AUD,144.95 -37.76,INTER BANK,Kristin,2074.79,2018-08-02,F,43,197.0,Australia,CUS-4123612273,debit,August,07:00:00,144.95,-37.76
